epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,90.5131,0.25086,0.34516,0.8102,0,0,0,0,0,677.5,0,0.00039115,0.00039115,0.00039115
125,91.2903,0.2392,0.33657,0.80466,0,0,0,0,0,733.5,0,0.0003862,0.0003862,0.0003862
126,92.0339,0.23904,0.34479,0.81335,0,0,0,0,0,774.5,0,0.00038125,0.00038125,0.00038125
127,92.7849,0.23374,0.3274,0.80543,0,0,0,0,0,788,0,0.0003763,0.0003763,0.0003763
128,93.5347,0.23029,0.32209,0.80637,0,0,0,0,0,769,0,0.00037135,0.00037135,0.00037135
129,94.273,0.22463,0.31082,0.80789,0,0,0,0,0,740,0,0.0003664,0.0003664,0.0003664
130,95.0243,0.24747,0.32803,0.80043,0,0,0,0,0,695.5,0,0.00036145,0.00036145,0.00036145
131,95.764,0.24666,0.34072,0.80587,0,0,0,0,0,651,0,0.0003565,0.0003565,0.0003565
132,96.5262,0.25266,0.33038,0.80817,0,0,0,0,0,626.5,0,0.00035155,0.00035155,0.00035155
133,97.2705,0.23852,0.33784,0.81254,0,0,0,0,0,641.5,0,0.0003466,0.0003466,0.0003466
134,97.9889,0.23846,0.31695,0.79665,0,0,0,0,0,666,0,0.00034165,0.00034165,0.00034165
135,98.7034,0.23935,0.32555,0.81925,0,0,0,0,0,708.5,0,0.0003367,0.0003367,0.0003367
136,99.4088,0.22047,0.31591,0.8096,0,0,0,0,0,749.5,0,0.00033175,0.00033175,0.00033175
137,100.105,0.23315,0.32413,0.81157,0,0,0,0,0,777.5,0,0.0003268,0.0003268,0.0003268
138,100.804,0.22051,0.3089,0.8041,0,0,0,0,0,783.5,0,0.00032185,0.00032185,0.00032185
139,101.509,0.22347,0.31397,0.80359,0,0,0,0,0,762,0,0.0003169,0.0003169,0.0003169
140,102.228,0.22267,0.31565,0.81316,0,0,0,0,0,739.5,0,0.00031195,0.00031195,0.00031195
141,102.993,0.22214,0.31844,0.8066,0,0,0,0,0,728.5,0,0.000307,0.000307,0.000307
142,103.707,0.23745,0.32617,0.80715,0,0,0,0,0,734,0,0.00030205,0.00030205,0.00030205
143,104.426,0.22994,0.32096,0.80815,0,0,0,0,0,742.5,0,0.0002971,0.0002971,0.0002971
